Frequency (Hz)	Level (dB)
588.867188	-73.081947
589.355469	-75.103607
589.843750	-74.418137
590.332031	-77.353531
590.820312	-72.332161
591.308594	-74.000038
591.796875	-75.548904
592.285156	-75.915092
592.773438	-76.007454
593.261719	-72.950562
593.750000	-75.250145
594.238281	-74.752281
594.726562	-75.185974
595.214844	-75.482651
595.703125	-74.844238
596.191406	-73.263214
596.679688	-73.824135
597.167969	-75.023087
597.656250	-73.344879
598.144531	-74.137489
598.632812	-74.748306
599.121094	-72.650871
599.609375	-72.834465
600.097656	-75.586861
600.585938	-77.501457
601.074219	-73.459442
601.562500	-75.066490
602.050781	-76.184341
602.539062	-74.183800
603.027344	-75.555084
603.515625	-73.934113
604.003906	-75.000710
604.492188	-74.742271
604.980469	-73.881409
605.468750	-72.849655
605.957031	-73.997894
606.445312	-73.395752
606.933594	-72.797028
607.421875	-71.801704
607.910156	-74.881714
608.398438	-76.114952
608.886719	-75.054008
609.375000	-74.678535
609.863281	-75.292519
610.351562	-73.670494
610.839844	-73.440727
611.328125	-73.531685
611.816406	-73.894432
612.304688	-72.652115
612.792969	-73.058983
613.281250	-75.309090
613.769531	-73.128181
614.257812	-74.311943
614.746094	-74.396812
615.234375	-72.916901
615.722656	-75.265450
616.210938	-73.547676
616.699219	-74.773582
