Frequency (Hz)	Level (dB)				
2542.263794	-55.769478				
2543.609619	-55.599457				
2544.955444	-55.010498				
2546.30127	-54.857075				
2547.647095	-55.939026				
2548.99292	-56.658192				
2550.338745	-55.807747				
2551.68457	-55.942265				
2553.030396	-56.618565				
2554.376221	-56.326149				
2555.722046	-54.894741				
2557.067871	-55.256676				
2558.413696	-55.751225				
2559.759521	-54.976822				
2561.105347	-54.112362				
2562.451172	-54.694263				
2563.796997	-55.293472				
2565.142822	-54.938927				
2566.488647	-54.684837				
2567.834473	-55.065327				
2569.180298	-54.927868				
2570.526123	-54.276711				
2571.871948	-54.087303				
2573.217773	-55.68396				
2574.563599	-55.422619				
2575.909424	-55.729942				
2577.255249	-54.745079				
2578.601074	-54.955513				
2579.946899	-54.94611				
2581.292725	-54.429699				
2582.63855	-53.685699				
2583.984375	-54.360535				
2585.3302	-54.554245				
2586.676025	-54.348053				
2588.021851	-53.990509				
2589.367676	-54.685375				
2590.713501	-54.832401				
2592.059326	-54.141003				
2593.405151	-53.41843				
2594.750977	-53.7873				
2596.096802	-54.900078				
2597.442627	-54.704041				
2598.788452	-53.208111				
2600.134277	-53.07375				
2601.480103	-53.101833				
2602.825928	-52.347706				
2604.171753	-53.065193				
2605.517578	-51.899887				
2606.863403	-52.182888				
2608.209229	-52.684807				
2609.555054	-52.128735				
2610.900879	-53.106312				
2612.246704	-52.258194				
2613.592529	-52.792839				
2614.938354	-51.504498				
2616.28418	-51.620293				
2617.630005	-51.431801				
2618.97583	-52.963326				
2620.321655	-53.4758				
2621.66748	-51.862419				
2623.013306	-52.725613				
2624.359131	-51.737728				
2625.704956	-51.277775				
2627.050781	-50.509472				
2628.396606	-51.287746				
2629.742432	-50.155994				
2631.088257	-50.284908				
2632.434082	-50.394753				
2633.779907	-50.276474				
2635.125732	-49.874714				
2636.471558	-49.961445				
2637.817383	-49.49651				
2639.163208	-50.310032				
2640.509033	-50.28793				
2641.854858	-48.935509				
2643.200684	-49.774044				
2644.546509	-50.786179				
2645.892334	-49.490692				
2647.238159	-49.35125				
2648.583984	-49.179882				
2649.92981	-50.013084				
2651.275635	-48.674065				
2652.62146	-48.632256				
2653.967285	-49.588261				
2655.31311	-49.314323				
2656.658936	-47.999962				
2658.004761	-47.785309				
2659.350586	-48.733017				
2660.696411	-48.888126				
2662.042236	-47.301853				
2663.388062	-48.825653				
2664.733887	-48.485878				
2666.079712	-46.670994				
2667.425537	-47.027264				
2668.771362	-47.272564				
2670.117188	-47.629288				
2671.463013	-46.523617				
2672.808838	-46.247395				
2674.154663	-46.033684				
2675.500488	-46.143337				
2676.846313	-46.519154				
2678.192139	-45.995949				
2679.537964	-44.775543				
2680.883789	-46.061703				
2682.229614	-44.913994				
2683.575439	-45.250385				
2684.921265	-44.634258				
2686.26709	-44.298759				
2687.612915	-43.998039				
2688.95874	-45.480316				
2690.304565	-45.326893				
2691.650391	-43.861336				
2692.996216	-42.342731				
2694.342041	-43.263824				
2695.687866	-42.447441				
2697.033691	-42.683239				
2698.379517	-43.593842				
2699.725342	-42.121845				
2701.071167	-42.670555				
2702.416992	-41.76778				
2703.762817	-42.347858				
2705.108643	-43.259022				
2706.454468	-42.129318				
2707.800293	-40.815868				
2709.146118	-40.814976				
2710.491943	-41.453869				
2711.837769	-40.990009				
2713.183594	-40.922836				
2714.529419	-41.541409				
2715.875244	-41.547134				
2717.221069	-41.738163				
2718.566895	-42.013298				
2719.91272	-41.454639				
2721.258545	-41.314888				
2722.60437	-41.561275				
2723.950195	-42.418724				
2725.296021	-41.197636				
2726.641846	-42.052933				
2727.987671	-43.013901				
2729.333496	-43.250568				
2730.679321	-42.34584				
2732.025146	-43.298489				
2733.370972	-44.323311				
2734.716797	-44.654736				
2736.062622	-44.122635				
2737.408447	-44.032547				
2738.754272	-44.400864				
2740.100098	-44.359539				
2741.445923	-44.716019				
2742.791748	-44.874279				
2744.137573	-44.992401				
2745.483398	-44.815697				
2746.829224	-46.605534				
2748.175049	-46.581814				
2749.520874	-44.977871				
2750.866699	-45.485146				
2752.212524	-46.556198				
2753.55835	-46.012199				
2754.904175	-47.545704				
2756.25	-48.155243				
2757.595825	-47.750626				
2758.94165	-47.427422				
2760.287476	-47.041584				
2761.633301	-47.051113				
2762.979126	-48.438614				
2764.324951	-48.262646				
2765.670776	-48.58865				
2767.016602	-48.715927				
2768.362427	-49.129875				
2769.708252	-49.838837				
2771.054077	-48.410912				
2772.399902	-49.159901				
2773.745728	-48.8568				
2775.091553	-49.92054				
2776.437378	-49.609337				
2777.783203	-50.394989				
2779.129028	-50.171326				
2780.474854	-50.631294				
2781.820679	-50.601578				
2783.166504	-50.365097				
2784.512329	-50.166965				
2785.858154	-49.793842				
2787.203979	-50.419369				
2788.549805	-50.511093				
2789.89563	-50.296146				
2791.241455	-49.974094				
2792.58728	-51.557549				
2793.933105	-51.442467				
2795.278931	-51.431313				
2796.624756	-51.771328				
2797.970581	-51.977139				
2799.316406	-51.257984				
2800.662231	-51.732986				
2802.008057	-51.789284				
2803.353882	-51.791691				
